size,VertexIndex,X_mean,X_std,X_min,X_max,Y_mean,Y_std,Y_min,Y_max,Z_mean,Z_std,Z_min,Z_max,Std_Combined
L,31,-0.21140428944067519,0.005370557852438803,-0.22222201526165,-0.1982330083847046,-0.017717127434231972,0.002293729018961642,-0.0233139991760253,-0.0125120002776384,0.10018048171292647,0.007531665874460384,0.0822430029511451,0.115275003015995,0.009530481378363317
L,32,-0.1950317338109016,0.005015550465116726,-0.2049340009689331,-0.1826460063457489,-0.01659550917419515,0.0024823773346105177,-0.0226619988679885,-0.0107010006904602,0.09557471844283014,0.007201154480450802,0.0781930014491081,0.1101820021867752,0.009120009295545552
L,33,-0.1912454086271199,0.004910746830425395,-0.2008670270442962,-0.1790359914302826,-0.025037990967658384,0.0031665419937053495,-0.0320219993591308,-0.0180230010300874,0.08007831830870019,0.005525754938150904,0.0663240030407905,0.0914589986205101,0.008042163282782289
L,34,-0.18805638849735257,0.004209564303575551,-0.1968789994716644,-0.1773239970207214,0.010466299747878804,0.0026422879125595185,0.0042820014059543,0.0167509987950325,-0.0015947907485745034,0.004342364884006594,-0.0105689987540245,0.0074599981307983,0.006599867409626443
L,35,-0.19928800788792694,0.004488804188170387,-0.2086410224437713,-0.187820017337799,0.0040248180316252696,0.002639398343550171,-0.0020379982888698,0.0101669989526271,-0.0007122912867502665,0.004379852574998662,-0.0098069980740547,0.0083569958806037,0.006804329153883857
L,36,-0.19716674360361963,0.004426748100266673,-0.2063970267772674,-0.1857880055904388,-0.003351736508987134,0.0030648799474071965,-0.0101019982248544,0.0037279985845088,0.0010380910201506128,0.0043731747557784915,-0.0082099959254264,0.0101069957017898,0.006936443273019077
L,37,-0.18637933663346548,0.004198327682526005,-0.1951660215854644,-0.1756089925765991,0.003633454306559094,0.0030086567136059393,-0.0031279996037483,0.0107509978115558,-0.0007321182977069429,0.004343265203549177,-0.0096989944577217,0.0082999989390373,0.0067484756188750765
L,38,-0.1670348541303114,0.004578416669087338,-0.1758750081062317,-0.1555610001087188,-0.032822781987488225,0.004427577408601049,-0.0417589992284774,-0.0235650017857551,0.06167747209017923,0.003456099937816172,0.0524230003356933,0.0689620003104209,0.007246376176069258
L,39,-0.17213574322787195,0.004664915244855742,-0.1810750067234039,-0.1605400145053863,-0.025584445622834247,0.0037588448466496357,-0.0336089991033077,-0.017339002341032,0.07605185468088492,0.005154044577842577,0.0630780011415481,0.0867170020937919,0.007902817493353904
L,40,-0.15049952674995765,0.004370971575721999,-0.1590889990329742,-0.1396569907665252,-0.027022836611352134,0.004360784534614149,-0.0359439998865127,-0.0176940020173788,0.07289174534380431,0.004689019217698894,0.060963001102209,0.0826189965009689,0.007752982361456083
L,41,-0.14597300995479928,0.004293612635574297,-0.1544300019741058,-0.1352310180664062,-0.03434757277030832,0.004900552006880965,-0.0439919978380203,-0.0241280011832714,0.05806852731515056,0.002975584951250675,0.0499730035662651,0.0643559992313385,0.007162724707722459
L,42,-0.1637574260885065,0.004138547573044326,-0.1719040274620056,-0.153097003698349,-0.03904635471037838,0.005039850713177453,-0.0490279980003833,-0.0278469994664192,0.035342017967592544,0.0013003210246555893,0.0314700007438659,0.0381489992141723,0.00664969969191299
L,43,-0.16527941768819632,0.003829944569821536,-0.1730310022830963,-0.1552760004997253,-0.03552158215845169,0.005100101476101699,-0.0458039976656436,-0.023930000141263,0.023372390798547,0.0022401588065884127,0.0181499943137168,0.0282559990882873,0.006760016416635082
L,44,-0.18301938013596966,0.004256319575363192,-0.191629022359848,-0.1720159947872162,-0.037536418336358894,0.004759166675118511,-0.0469239987432956,-0.0267290007323026,0.028557345542040695,0.0018660899603353506,0.0235799998044967,0.0327289998531341,0.006651933215933761
L,45,-0.18213306177746164,0.004489143485570229,-0.1910270154476165,-0.1706640124320984,-0.03928569997237483,0.004628619405496037,-0.0483400002121925,-0.0290530007332563,0.04035607268187128,0.0013256215266720188,0.036761000752449,0.0429949983954429,0.006582841276147281
L,46,-0.11625181707468894,0.003291716130994853,-0.1228420138359069,-0.108485996723175,0.042770472676916506,0.0012692644504720097,0.0400270000100135,0.0454500019550323,0.09110405458645382,0.004620769310705507,0.0789730027318,0.1017000004649162,0.005813599259928533
L,47,-0.0911416806957938,0.0028455258360760107,-0.0968180000782013,-0.0845160186290741,0.04022298147055232,0.001070634941914784,0.0378400012850761,0.0428059995174407,0.08975745507261966,0.004182281940529193,0.0789400041103363,0.0993410050868988,0.005170566573664977
L,48,-0.12175508954308245,0.003622442879834257,-0.1289159953594207,-0.1125589907169342,-0.037541591105135955,0.005202455880397254,-0.0476889982819557,-0.0267430003732442,0.04129599068652496,0.0012792227120172388,0.0374770015478134,0.0437000021338462,0.006467151641339688
L,49,-0.12084794586355031,0.003266028304388474,-0.1271760165691375,-0.1123920083045959,-0.035240636427294074,0.004752977299603829,-0.0445370003581047,-0.0246720016002655,0.027557836202057876,0.0014132537655838513,0.02360700070858,0.0306069999933242,0.005937593814126467
